slug,title,lang,publication_date,lastmod,image_url,video_url,video_thumbnail,video_duration,keywords
geo16-introduction,"AI Answer Engine Citation Behavior: The GEO-16 Framework",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, LLM Seeding, Structured Data, Crawl Clarity"
geo16-framework,"The GEO-16 Framework: Six Principles, Sixteen Pillars",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, Structured Data, Semantic HTML, Content Optimization"
geo16-methodology,"Research Methodology: Data Collection and Analysis",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, Research Methodology, Data Analysis, Citation Behavior"
geo16-results,"Research Results: Citation Performance Analysis",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, Citation Analysis, Research Results, AI Engines"
geo16-implications,"Strategic Implications: Playbook for Generative Engine Optimization",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, Generative Engine Optimization, Content Strategy, B2B SaaS"
geo16-conclusion,"Conclusion: The Future of AI Citation Optimization",en,2025-09-16,2025-10-12,https://nrlc.ai/assets/geo16-hero.jpg,,,,"AI SEO, GEO-16, Citation Optimization, Future Research, Implementation"
llm-ontology-generation,"Large Language Models for Scholarly Ontology Generation",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/ontology-hero.jpg,,,,"AI SEO, GEO-16, LLM Seeding, Structured Data, Ontology Generation"
semantic-seo-in-news,"Semantic SEO in News Media: How Publishers Use Structured Metadata",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/news-hero.jpg,,,,"AI SEO, GEO-16, Semantic SEO, News Media, Structured Data"
seo-landscape-analysis,"Mapping the Optimized Web Landscape: SEO Manipulation vs Principled GEO Optimization",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/landscape-hero.jpg,,,,"AI SEO, GEO-16, SEO Landscape, Principled Optimization"
ocrplus-data-ingestion,"OCR++ and AI Data Extraction: Turning PDFs into Structured Data Pipelines",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/ocr-hero.jpg,,,,"AI SEO, GEO-16, OCR++, Data Extraction, Structured Data"
semantic-drift-tracking,"Tracking Topic Drift in AI Citations: Time-Decay and Freshness in LLM Seeding",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/drift-hero.jpg,,,,"AI SEO, GEO-16, Semantic Drift, Topic Evolution, LLM Seeding"
yago-entity-mapping,"YAGO and Entity Disambiguation: Canonical Entity Mapping for Schema Alignment",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/yago-hero.jpg,,,,"AI SEO, GEO-16, YAGO, Entity Disambiguation, Schema Alignment"
ontology-based-search,"Designing Ontology-Based Search Systems: How Ontology Improves Generative Retrieval",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/search-hero.jpg,,,,"AI SEO, GEO-16, Ontology-Based Search, Generative Retrieval"
open-seo-tools,"Open Source SEO Tools: Curated List & NRLC.ai Integrations",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/tools-hero.jpg,,,,"AI SEO, GEO-16, Open Source Tools, SEO Tools, Tool Integration"
industry-insights,"Industry AI SEO Insights: Sector Analysis & Optimization",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/industry-hero.jpg,,,,"AI SEO, Industry Analysis, Sector Optimization, Business Strategy"
tool-reviews,"AI SEO Tool Reviews: Comprehensive Platform Analysis",en,2025-10-12,2025-10-12,https://nrlc.ai/assets/reviews-hero.jpg,,,,"AI SEO, Tool Reviews, Platform Analysis, Optimization Tools"
goldmine-google-title-selection,"Goldmine: Evidence-Backed View of Google's Title Selection System (2024â€“2025)",en,2025-10-16,2025-10-16,https://nrlc.ai/assets/og/goldmine.png,,,,"Google Goldmine, Title Selection, SERP Optimization, NavBoost, SEO 2025"