keyword,cluster,intent,service_mapping,priority,locale_detected,geo_target,impressions,clicks,notes
"open source seo software",TECHNICAL_AI_SEO,informational,ai_seo,1,en-us,,133,0,"High volume"
"open source seo tools",TECHNICAL_AI_SEO,informational,ai_seo,1,en-us,,60,0,
"copilot seo tracker",TECHNICAL_AI_SEO,local_intent,llm_strategy,1,en-us,Il,57,0,
"open source seo platform",TECHNICAL_AI_SEO,local_intent,ai_seo,1,en-us,La,50,0,
"seo services oshawa",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,10,0,
"seo service windsor",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,4,0,
"guelph seo services",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,4,0,
"oshawa seo services",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,4,0,
"seo services saskatoon",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,4,0,
"seo services guelph",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,3,0,
"llmo services",GENERAL_SEO,transactional,ai_seo,1,en-us,,2,0,
"perplexity optimisation services",AI_LLM_STRATEGY,transactional,llm_strategy,1,en-us,,1,0,
"seo services barrie",TECHNICAL_AI_SEO,transactional,ai_seo,1,en-us,,1,0,
"ai seo singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,2,en-us,Singapore,36,0,
"seo southport",TECHNICAL_AI_SEO,local_intent,ai_seo,2,en-us,Southport,35,0,
"generative engine optimisation glasgow",AI_LLM_STRATEGY,local_intent,llm_strategy,2,en-us,La,30,0,
"best open source seo software",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,29,0,
"seo audit belfast",TECHNICAL_AI_SEO,local_intent,ai_seo,2,en-us,Belfast,28,0,
"conversion rate optimization abbotsford",TECHNICAL_AI_SEO,local_intent,ai_seo,2,en-us,Sf,21,0,
"jacksonville ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,2,en-us,Il,20,0,
"open source seo tool",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,18,0,
"seo southend on sea",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,17,0,
"seo tools open source",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,14,0,
"oshawa seo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,11,0,
"ai search results in okc",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,6,0,
"seo ai automation colorado springs co",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,6,0,
"open source seo reporting software",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,6,0,
"seo kingston",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,6,0,
"conversion rate optimization okc",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,5,0,
"seo conference innorwich",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,5,0,
"wako ai",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,3,0,
"seo kobe",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,3,0,
"seo analyzer open source",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,3,0,
"seo oshawa",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,3,0,
"seo southend",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,3,0,
"open source seo checker",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,2,0,
"llm seeding",TECHNICAL_AI_SEO,informational,llm_strategy,2,en-us,,2,0,
"guelph seo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,2,0,
"schema markup kansas",TECHNICAL_AI_SEO,informational,structured_data_engineering,2,en-us,,1,0,
"ai utsunomiya",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"conversion rate optimization halifax",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ai honjo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
seo,TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"edmonton seo specialist",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"sudbury seo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo audit ottawa",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo norwich",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"kingston seo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo specialist in peterborough",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"google search seo in peterborough",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ottawa seo specialist",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo sudbury",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo specialist virginia",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo saguenay",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ongoing llm seo techniques",TECHNICAL_AI_SEO,informational,llm_strategy,2,en-us,,1,0,
"windsor.ai competitors",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"windsor seo",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ai implementation kc",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ecommerce seo ottawa",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo guelph",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo open source",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo conference in peterborough",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"ai brighton",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"seo in kitchener",TECHNICAL_AI_SEO,informational,ai_seo,2,en-us,,1,0,
"link building strategies in southampton",GEO_SEO,local_intent,ai_seo,3,en-us,Il,18,0,
"singapore ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,18,0,
"track perplexity mentions continuously",AI_LLM_STRATEGY,informational,llm_strategy,3,en-us,,17,0,
"conversion rate optimisation birmingham",GEO_SEO,local_intent,ai_seo,3,en-us,Birmingham,16,0,
"ai seo glasgow",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,15,0,
"seo southend-on-sea",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Southend On Sea",14,0,
"web audit newcastle",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,13,0,
"seo huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,12,0,
"seo audit hull",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Hull,11,0,
"chatgpt visibility help for business in kansas city",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Il,10,0,
"website audit newcastle",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,10,0,
"technical seo birmingham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,10,0,
"llm jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,,9,0,
"chicago seo company audit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,9,0,
"copilot seo trackers",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Il,9,0,
"seo west bromwich",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"West Bromwich",9,0,
"link building strategies southampton",GEO_SEO,local_intent,ai_seo,3,en-us,Il,8,0,
"conversion rate optimization omaha",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Omaha,8,0,
"generative seo agency for houston businesses",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Houston,8,0,
"seo conference in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,8,0,
"ai seo agency singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,8,0,
"seo audit newcastle",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,8,0,
"schema markup jacksonville",TECHNICAL_AI_SEO,local_intent,structured_data_engineering,3,en-us,Il,7,0,
"copilot services chicago",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Ca,7,0,
"indianapolis ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Indianapolis,7,0,
"search engine optimisation southend-on-sea",GEO_SEO,local_intent,ai_seo,3,en-us,"Southend On Sea",7,0,
"technical seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,7,0,
"seo writer toronto",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Toronto,7,0,
"seo specialist singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,7,0,
"citation building nottingham",GEO_SEO,local_intent,ai_seo,3,en-us,Il,6,0,
"search engine ranking optimization stockport",TECHNICAL_AI_SEO,local_intent,ranking_optimization,3,en-us,Stockport,6,0,
"columbus ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Columbus,6,0,
"seo ai singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,6,0,
"seo packages for oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,6,0,
"search engine optimisation (seo)oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,6,0,
"technical seo in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,6,0,
"seo specialist belfast",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Belfast,6,0,
"international seo singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,6,0,
"generative ai content optimization in houston",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Houston,6,0,
"seo audit sheffield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sheffield,6,0,
"sayama b2b",GENERAL_SEO,informational,ai_seo,3,en-us,,5,0,
"kazo ai",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Az,5,0,
"albuquerque conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Albuquerque,5,0,
"generative engine optimization montreal",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,Montreal,5,0,
"virginia beach conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Virginia Beach",5,0,
"seo conference in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,5,0,
"ai optimization singapore",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Singapore,5,0,
"website search optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,5,0,
"seo conference in plymouth",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Plymouth,5,0,
"best local seo in coventry",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"seo stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,5,0,
"local seo huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"seo conference in northampton",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Northampton,5,0,
"seo search engine optimisation in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,5,0,
"technical seo inoldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,5,0,
"southport seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Southport,5,0,
"chatgpt visibility strategies for businesses kansas city",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Il,4,0,
"voice search optimization san antonio",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"San Antonio",4,0,
"albuquerque conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,4,0,
"tucson conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Tucson,4,0,
"oklahoma city ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,La,4,0,
"columbus conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Columbus,4,0,
"tucson conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,4,0,
"albuquerque conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Albuquerque,4,0,
"ai e commerce montreal",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Montreal,4,0,
"seo search engine optimisation inoldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,4,0,
"web search optimization stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,4,0,
"seo conference in oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Oldham,4,0,
"local seo oldham",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,4,0,
"seo specialist in cambridge",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,4,0,
"search engine optimisation (seo)huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,4,0,
"technical seo jobs",TECHNICAL_AI_SEO,job_intent,enterprise_ai_hiring,3,en-us,Ca,3,0,
"search generative experience in okc",AI_LLM_STRATEGY,informational,llm_strategy,3,en-us,,3,0,
"copilot optimisation services",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,Il,3,0,
"omaha conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Omaha,3,0,
"sacramento conversion rate optimization services",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sacramento,3,0,
"columbus conversion rate optimization company",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,3,0,
"omaha ai seo",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Omaha,3,0,
"generative engine optimization san antonio",TECHNICAL_AI_SEO,local_intent,llm_strategy,3,en-us,"San Antonio",3,0,
"ai seo detroit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Detroit,3,0,
"virginia beach conversion rate optimization agency",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,"Virginia Beach",3,0,
"seo marketing strategy stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,3,0,
"seo packages for huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Pa,3,0,
"seo training houston",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Houston,3,0,
"chatgpt ranking optimisation service near me",AI_LLM_STRATEGY,local_intent,llm_strategy,3,en-us,"Near Me",3,0,
"basic seo in huddersfield",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,3,0,
"best local seo in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"seo audit cambridge",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,3,0,
"seo specialists stockport",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Stockport,3,0,
"seo services detroit",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Detroit,3,0,
"search engine optimisation (seo)middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,3,0,
