slug,name
crawl-clarity,Crawl Clarity Engineering
json-ld-strategy,JSON-LD & Structured Snippets
llm-seeding,LLM Seeding & Citation Readiness
llm-optimization,LLM Optimization (LLMO)
agentic-seo,Generative/Agentic SEO
technical-seo,Technical SEO & Sitemaps
international-seo,International SEO & Hreflang
site-audits,AI-First Site Audits
analytics,AI Visibility & Analytics
training,Team Training & Playbooks
voice-search-optimization,Voice Search & AI Assistant Optimization
local-seo-ai,Local SEO & AI Discovery
ecommerce-ai-seo,E-commerce AI SEO
b2b-seo-ai,B2B AI SEO Strategy
content-optimization-ai,AI Content Optimization
technical-audit-ai,AI Technical Audit
competitor-analysis-ai,AI Competitor Analysis
link-building-ai,AI Link Building Strategy
conversion-optimization-ai,AI Conversion Optimization
mobile-seo-ai,Mobile AI SEO
schema-markup-ai,AI Schema Markup
entity-optimization-ai,Entity Optimization for AI
semantic-seo-ai,Semantic SEO for AI
knowledge-graph-ai,Knowledge Graph AI Optimization
featured-snippets-ai,Featured Snippets AI Optimization
ai-overviews-optimization,AI Overviews Optimization
chatgpt-optimization,ChatGPT Optimization
claude-optimization,Claude Optimization
perplexity-optimization,Perplexity Optimization
bard-optimization,Bard Optimization
copilot-optimization,Copilot Optimization
ai-search-optimization,AI Search Optimization
generative-seo,Generative SEO
llm-content-strategy,LLM Content Strategy
ai-citation-optimization,AI Citation Optimization
structured-data-ai,Structured Data for AI
metadata-optimization-ai,Metadata Optimization for AI
entity-recognition-ai,Entity Recognition AI
topic-modeling-ai,Topic Modeling AI
intent-optimization-ai,Intent Optimization AI
contextual-seo-ai,Contextual SEO AI
multimodal-seo-ai,Multimodal SEO AI
conversational-seo-ai,Conversational SEO AI
personalization-ai,Personalization AI SEO
recommendation-ai,Recommendation AI SEO
retrieval-optimization-ai,Retrieval Optimization AI
ranking-optimization-ai,Ranking Optimization AI
relevance-optimization-ai,Relevance Optimization AI
accuracy-optimization-ai,Accuracy Optimization AI
completeness-optimization-ai,Completeness Optimization AI
freshness-optimization-ai,Freshness Optimization AI
authority-optimization-ai,Authority Optimization AI
trust-optimization-ai,Trust Optimization AI
verification-optimization-ai,Verification Optimization AI
transparency-optimization-ai,Transparency Optimization AI
explainability-optimization-ai,Explainability Optimization AI